snack_id	name	image	flavor	type_id
90	오리온 눈을감자	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ef57/dd086836aabad29312edf0f5be80e3dbe6d6886d892cfdb819a927a96932.jpg	짭짤한맛	감자과자
91	헌터스 블랙트러플 포테이토칩	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/427881100006173-776c1aa1-ccbd-41a0-81fb-b9a82c230eb3.jpg	짭짤한맛	감자과자
92	포스틱	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3042223577154124-2b191029-596b-4a30-8f2a-0a5e1d3b6051.jpg	짭짤한맛	감자과자
93	예감 오리온 치즈그라탕	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2bb0/ad04225ed9cd7b7825935ec26cde93ab6f741309cad5de34a1088e3caf29.jpg	짭짤한맛	감자과자
94	마켓오 감자톡 허브솔트맛	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bd97/a9f570a527fc942ba0a36d4af8a38f18364ef5f86cfbf54c731a216dcb14.jpg	짭짤한맛	감자과자
95	아미카 엘도라다 오리지널 러플 감자칩	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/15028366715235883-6bc92c45-0bb0-4ad5-80ba-909729fa6ba3.jpg	짭짤한맛	감자과자
96	무뚝뚝감자칩 통후추 소금맛 과자	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/429b/a29be28ed0bda8820ca912f49e0dbe2b409b568170c26c220350efb70be8.JPG	짭짤한맛	감자과자
97	[코스트코] 커클랜드 시그니춰 핑크 솔트 감자칩 907gX2개	https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/c6d3/ae69900d48891c61330b019822bd0f904b48df974cc32d53dbeb313f651d.jpg	짭짤한맛	감자과자
98	예감 치즈그라탕	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/4b19/1e35cb9cd03cb7ecf9f830041b3877e3f9f23b296fb80750bda6547aaaba.jpg	짭짤한맛	감자과자
99	예감 치즈그라탕	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/bd4c/65c69e6122aa43e0efa266c20e68a20555abc60bf333713427a8685e21d0.jpg	짭짤한맛	감자과자
100	프링글스 오리지날 감자스낵	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/6103/f37dc491e4ee9eae32525b73728b5eb93941150aee81f2d1c322aaa4a614.png	짭짤한맛	감자과자
101	오리온 눈을감자 스낵	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/e651/b449a3fda08ff4453030776ef56ef4510a85528c35f372b94601330f988b.jpg	짭짤한맛	감자과자
102	헌터스 블랙트러플 포테이토칩	https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/427901571242564-e702e7e0-4070-46bf-b965-02f8fc186a55.jpg	짭짤한맛	감자과자
103	오리온 포카칩 오리지날 110g	https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/ff49/fb8b6ff3bc9c49b1bd6e1fdb1e91dade0176a4ef5b153d88b0c5591e4417.jpg	짭짤한맛	감자과자
104	프링글스 구운 김맛	https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/91c98c65-22b5-4803-8abc-e458b9de680b408389674740388386.png	짭짤한맛	감자과자
105	해태제과 자가비 짭짤한맛 스낵 파우치	https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/2e9e/1be132d01b007a854d42d9ae34658370b0e67fb64617c9346996ded2e48d.jpg	짭짤한맛	감자과자
